Date,Actual,LSTM_Forecast
2025-01-02,379.2799987792969,408.62192
2025-01-03,410.4400024414063,390.06342
2025-01-06,411.0499877929688,387.06656
2025-01-07,394.3599853515625,389.07852
2025-01-08,394.9400024414063,387.63135
2025-01-10,394.739990234375,387.30716
2025-01-13,403.30999755859375,387.3506
2025-01-14,396.3599853515625,390.53113
2025-01-15,428.2200012207031,390.84314
2025-01-16,413.8200073242188,401.7954
2025-01-17,426.5,406.205
2025-01-21,424.0700073242188,412.49963
2025-01-22,415.1099853515625,415.3943
2025-01-23,412.3800048828125,412.63593
2025-01-24,406.5799865722656,407.56235
2025-01-27,397.1499938964844,400.6707
2025-01-28,398.0899963378906,391.9558
2025-01-29,389.1000061035156,386.1808
2025-01-30,400.2799987792969,380.2268
2025-01-31,404.6000061035156,381.07596
2025-02-03,383.6799926757813,385.56476
2025-02-04,392.2099914550781,383.0744
2025-02-05,378.1700134277344,383.318
2025-02-06,374.3200073242188,378.60187
2025-02-07,361.6199951171875,372.80527
2025-02-10,350.7300109863281,363.70517
2025-02-11,328.5,352.84482
2025-02-12,336.510009765625,337.29785
2025-02-13,355.94000244140625,328.67252
2025-02-14,355.8399963378906,331.3565
2025-02-18,354.1099853515625,337.18765
2025-02-19,360.55999755859375,343.16125
2025-02-20,354.3999938964844,350.33386
2025-02-21,337.79998779296875,353.35388
2025-02-24,330.5299987792969,348.2228
2025-02-25,302.79998779296875,339.19443
2025-02-26,290.79998779296875,321.30295
2025-02-27,281.95001220703125,302.26834
2025-02-28,292.9800109863281,285.4854
2025-03-03,284.6499938964844,278.51266
2025-03-04,272.0400085449219,274.38168
2025-03-05,279.1000061035156,269.98764
2025-03-06,263.45001220703125,270.36713
2025-03-07,262.6700134277344,267.27875
2025-03-10,222.1499938964844,264.6452
2025-03-11,230.5800018310547,249.8047
2025-03-12,248.08999633789062,238.88431
2025-03-13,240.67999267578125,236.30475
2025-03-14,249.979995727539,234.47958
2025-03-17,238.00999450683597,237.45517
2025-03-18,225.3099975585937,237.76752
2025-03-19,235.8600006103516,234.13625
2025-03-20,236.259994506836,233.59546
2025-03-21,248.71000671386722,233.59816
2025-03-24,278.3900146484375,237.70793
2025-03-25,288.1400146484375,251.04916
2025-03-26,272.0599975585937,266.8148
2025-03-27,273.1300048828125,274.8841
2025-03-28,263.54998779296875,279.07074
2025-03-31,259.1600036621094,276.65985
2025-04-01,268.4599914550781,270.55405
2025-04-02,282.760009765625,266.94623
2025-04-03,267.2799987792969,268.8935
2025-04-04,239.42999267578122,267.18576
2025-04-07,233.2899932861328,257.1582
2025-04-08,221.8600006103516,246.01012
2025-04-09,272.20001220703125,233.60841
2025-04-10,252.3999938964844,239.7548
2025-04-11,252.30999755859372,243.17644
2025-04-14,252.35000610351557,247.2871
2025-04-15,254.11000061035156,250.95824
2025-04-16,241.55000305175784,254.1191
2025-04-17,241.36999511718747,252.15173
2025-04-21,227.5,248.98393
2025-04-22,237.97000122070315,241.33846
2025-04-23,250.7400054931641,237.4614
2025-04-24,259.510009765625,239.03564
2025-04-25,284.95001220703125,244.72868
2025-04-28,285.8800048828125,258.71527
2025-04-29,292.0299987792969,272.2229
2025-04-30,282.1600036621094,284.77246
2025-05-01,280.5199890136719,290.18417
2025-05-02,287.2099914550781,290.78964
2025-05-05,280.260009765625,290.5465
2025-05-06,275.3500061035156,286.65588
2025-05-07,276.2200012207031,280.8154
2025-05-08,284.82000732421875,276.01468
2025-05-09,298.260009765625,275.5306
2025-05-12,318.3800048828125,281.00098
2025-05-13,334.07000732421875,293.80814
2025-05-14,347.67999267578125,311.06104
2025-05-15,342.82000732421875,329.99496
2025-05-16,349.9800109863281,342.4639
2025-05-19,342.0899963378906,351.22842
2025-05-20,343.82000732421875,351.86728
2025-05-21,334.6199951171875,349.03528
2025-05-22,341.0400085449219,341.33322
2025-05-23,339.3399963378906,336.0734
2025-05-27,362.8900146484375,332.08517
2025-05-28,356.8999938964844,338.22232
2025-05-29,358.42999267578125,343.8042
2025-05-30,346.4599914550781,349.468
2025-06-02,342.69000244140625,349.59692
2025-06-03,344.2699890136719,346.7939
2025-06-04,332.04998779296875,343.84882
2025-06-05,284.70001220703125,337.0023
2025-06-06,295.1400146484375,315.09546
2025-06-09,308.5799865722656,299.6851
2025-06-10,326.0899963378906,294.1072
2025-06-11,326.42999267578125,299.41946
2025-06-12,319.1099853515625,307.86804
2025-06-13,325.3099975585937,314.0909
2025-06-16,329.1300048828125,320.715
2025-06-17,316.3500061035156,326.33643
2025-06-18,322.04998779296875,325.11264
2025-06-20,322.1600036621094,323.6653
2025-06-23,348.67999267578125,321.43256
2025-06-24,340.4700012207031,328.12994
2025-06-25,327.54998779296875,332.15704
2025-06-26,325.7799987792969,330.68643
2025-06-27,323.6300048828125,327.50543
2025-06-30,317.6600036621094,323.46198
2025-07-01,300.7099914550781,318.10092
2025-07-02,315.6499938964844,308.34808
2025-07-03,315.3500061035156,305.5809
2025-07-07,293.94000244140625,305.2487
2025-07-08,297.8099975585937,299.49646
2025-07-09,295.8800048828125,296.1392
2025-07-10,309.8699951171875,293.57172
2025-07-11,313.510009765625,296.87698
2025-07-14,316.8999938964844,302.19058
2025-07-15,310.7799987792969,308.2695
2025-07-16,321.6700134277344,310.98758
2025-07-17,319.4100036621094,315.5335
2025-07-18,329.6499938964844,317.78113
2025-07-21,328.489990234375,321.9032
2025-07-22,332.1099853515625,324.3719
2025-07-23,332.5599975585937,326.73544
2025-07-24,305.29998779296875,328.16022
2025-07-25,316.0599975585937,319.49167
2025-07-28,325.5899963378906,314.27954
2025-07-29,321.20001220703125,313.80975
2025-07-30,319.0400085449219,313.5587
